ts	phase	decision	why	evidence	result
2026-08-26T13:38:48Z	frame	Use high-rigor evidence gates	The change combines binary-derived interaction semantics, AppKit lifecycle, and user-visible drag behavior	Root and group directionality, immutable hit targets, lifecycle retention, autoscroll, executed tests, and live UI are separate falsifiable gates	IN_PROGRESS
2026-08-26T13:38:48Z	evidence	Treat ordinary Dia rows as fixed candidate slots	Recovered payloads carry source-independent section and index values through lookup and validation	FUN_104a4eaa8 authors fixed row payloads; FUN_104a4a2a4 and FUN_1046c0568 return or reject them without index normalization	VERIFIED_ROOT_ROWS
2026-08-26T13:38:48Z	gate	Reject the first integrated test run as incomplete	One layout assertion failed and the UI suite has not executed	Focused XCTest ran 63 tests with 62 passing before the boundary expectation was corrected	PENDING_RERUN
2026-08-26T13:38:49Z	blocker	Keep live Computer Use as an explicit unresolved gate	The secure console has no drawable application window while locked	IOConsoleLocked=Yes, CGSSessionScreenIsLocked=Yes, Computer Use returned cgWindowNotFound	INCONCLUSIVE_UNTIL_UNLOCK
2026-08-26T13:39:35Z	gate	Accept focused provisional suite	The corrected natural-boundary assertion now matches the fixed-target invariant	xcodebuild executed 63 focused unit and AppKit tests with exit code 0	PASS
2026-08-26T13:47:30Z	decision	Defer mid-flight snapshot retargeting and spring-duration change	The current CATransaction completion owns logical snapshot handoff, so replacing the animation or extending settling duration would alter commit timing without an independent settlement gate	Settlement critic traced settle to finishDragging to completeDropHandoff and identified exactly-once lifecycle tests required first	DEFERRED_WITH_REASON
2026-08-26T13:59:25Z	evidence	Separate fixed candidates from ordered drag sources	Dia metadata names section, ancestor index, and group ancestry, while the source collection remains a separate ordered value	Descriptors 0x105c07fac and 0x105e11554; FUN_104a4eaa8 copies paths unchanged; FUN_1046c0568 only accepts or rejects	VERIFIED
2026-08-26T13:59:25Z	boundary	Do not claim Dia multiselect final-order parity	The model delegate behind protocol slot +0x58 is outside the recovered evidence	FUN_104a6549c calls the unresolved witness at 0x104a65828 and 0x104a65b50	UNRESOLVED_EXPLICIT
2026-08-26T14:00:40Z	gate	Classify UI compilation separately from Tuist sharding	The target and DiaParityDragUITests compiled and linked, but local shard-plan derivation is CI-only	Tuist printed Test Build Succeeded, then exited 1 because no shard reference was available outside supported CI	COMPILE_PASS_WRAPPER_INCONCLUSIVE
2026-08-26T14:13:57Z	arena	Select natural item candidates plus structural boundaries	Four independent designs and a cross-model judge favored one meaning per candidate type	Candidate 1 and judge scored 28/30; candidate 4 surviving-prefix arithmetic reproduced A-over-B destination 0	SELECTED_WITH_GRAFTS
2026-08-26T14:16:30Z	red-test	Capture adjacent downward reorder through real model mutation	Passing geometry tests did not exercise planner no-op rejection or final topology order	TerminalSidebarDropPlanningTests ran 11 tests: 10 passed, A-over-B failed because planner returned nil; xcresult Test-supaterm-2026.08.26_15-15-42-+0100	EXPECTED_FAILURE_CONFIRMED
2026-08-26T14:26:08Z	ui-compile	Keep three direct parity UI regressions	Unsafe outside-window cancellation and timing-only activation coverage could create false failures or side effects	Non-sharded xcodebuild build-for-testing for supatermUITests exited 0; compiled bundle contains root down, root up, and same-group down tests; no UI execution	COMPILE_PASS_EXECUTION_PENDING
